presto,ft,w,act_run,sch_run,ideal_prod,good_out,availability,performance,quality,oee,obj,time,message,count,PrestoOk,PrestoNGst4,PrestoNGst7,PrestoTotal,Part I.D,Minimum weld width (mm),Weld Intensity Avg,Membrane Intensity,Average Body intensity,,Weld width LL,Weld width UL,Weld Intensity Avg LL,Weld Intensity Avg UL,Membrane Intensity LL,Membrane Intensity UL,Average Body intensity LL,Average Body intensity UL,,VS Defects,VS Defects count
221,333,125,3,8,500,198.9,38,44,90,15,100,7/23/2023,,,165.75,33.15,22.1,221,DA0008-0101-3/8,2.159,169.074,251.763,150.518,,1,2.479,30,192.5,250,254.99,145,180,,,
12,322,425,4,8,500,10.8,50,2,90,1,100,7/24/2023,,,9,1.8,1.2,12,DA0008-0102-3/8,2.163,171.432,251.776,150.983,,1,2.479,30,192.5,250,254.99,145,180,,,
12,311,511,6,8,500,10.8,75,2,90,2,100,7/25/2023,,,9,1.8,1.2,12,DA0008-0103-3/8,2.219,172.408,252.817,152.132,,1,2.479,30,192.5,250,254.99,145,180,,,
125,300,152,5,8,500,112.5,63,25,90,14,100,7/26/2023,,,93.75,18.75,12.5,125,DA0008-0104-3/8,2.127,169.83,252.025,153.737,,1,2.479,30,192.5,250,254.99,145,180,,,
425,289,128,4,8,500,382.5,50,85,90,38,100,7/27/2023,,,318.75,63.75,42.5,425,DA0008-0105-3/8,2.194,0,252.441,158.295,,1,2.479,30,192.5,250,254.99,145,180,,,
511,278,152,3,8,500,459.9,38,102,90,34,100,7/28/2023,,,383.25,76.65,51.1,511,DA0008-0106-3/8,2.044,0,252.492,154.801,,1,2.479,30,192.5,250,254.99,145,180,,,
300,511,264,3,8,500,270,38,60,90,20,100,7/29/2023,,,225,45,30,300,DA0008-0107-3/8,2.153,180.374,251.969,156.077,,1,2.479,30,192.5,250,254.99,145,180,,,
589,300,333,1,8,500,530.1,13,118,90,13,100,7/30/2023,,,441.75,88.35,58.9,589,DA0008-0108-3/8,2.103,180.449,252.044,160.068,,1,2.479,30,192.5,250,254.99,145,180,,,
258,425,322,3,8,500,232.2,38,52,90,17,100,7/31/2023,,,193.5,38.7,25.8,258,DA0008-0109-3/8,2.111,174.525,252.755,155.127,,1,2.479,30,192.5,250,254.99,145,180,,,
125,1554,311,1,8,500,112.5,13,25,90,3,100,8/1/2023,,,93.75,18.75,12.5,125,DA0008-0110-3/8,2.188,167.932,251.686,154.339,,1,2.479,30,192.5,250,254.99,145,180,,,
425,125,300,3,8,500,382.5,38,85,90,29,100,8/2/2023,,,318.75,63.75,42.5,425,DA0008-0111-3/8,2.219,170.242,252.983,152.012,,1,2.479,30,192.5,250,254.99,145,180,,,
125,425,289,1,8,500,112.5,13,25,90,3,100,8/3/2023,,,93.75,18.75,12.5,125,DA0008-0112-3/8,2.253,167.54,251.468,152.566,,1,2.479,30,192.5,250,254.99,145,180,,,
425,511,278,3,8,500,382.5,38,85,90,29,100,8/4/2023,,,318.75,63.75,42.5,425,DA0008-0113-3/8,2.263,168.696,252.064,152.584,,1,2.479,30,192.5,250,254.99,145,180,,,
511,300,152,2,8,500,459.9,25,102,90,23,100,8/5/2023,,,383.25,76.65,51.1,511,DA0008-0114-3/8,2.324,170.425,252.383,155.448,,1,2.479,30,192.5,250,254.99,145,180,,,
152,152,1554,3,8,500,136.8,38,30,90,10,100,8/6/2023,,,114,22.8,15.2,152,DA0008-0115-3/8,2.314,169.996,251.862,154.343,,1,2.479,30,192.5,250,254.99,145,180,,,
128,1554,152,6,8,500,115.2,75,26,90,17,100,8/7/2023,,,96,19.2,12.8,128,DA0008-0116-3/8,2.326,165.039,252.491,151.298,,1,2.479,30,192.5,250,254.99,145,180,,,
152,125,1554,5,8,500,136.8,63,30,90,17,100,8/8/2023,,,114,22.8,15.2,152,DA0008-0117-3/8,2.27,167.813,251.616,150.411,,1,2.479,30,192.5,250,254.99,145,180,,,
264,425,125,4,8,500,237.6,50,53,90,24,100,8/9/2023,,,198,39.6,26.4,264,DA0008-0118-3/8,2.21,177.803,252.626,159.273,,1,2.479,30,192.5,250,254.99,145,180,,,
214,125,425,3,8,500,192.6,38,43,90,14,100,8/10/2023,,,160.5,32.1,21.4,214,DA0008-0119-3/8,2.256,168.193,251.762,153.007,,1,2.479,30,192.5,250,254.99,145,180,,,
236,425,511,4,8,500,212.4,50,47,90,21,100,8/11/2023,,,177,35.4,23.6,236,DA0008-0120-3/8,2.276,167.064,252.133,153.279,,1,2.479,30,192.5,250,254.99,145,180,,,
125,511,511,3,8,500,112.5,38,25,90,8,100,8/12/2023,,,93.75,18.75,12.5,125,DA0008-0121-3/8,2.45,165.961,252.421,151.059,,1,2.479,30,192.5,250,254.99,145,180,,,
425,300,300,4,8,500,382.5,50,85,90,38,100,8/13/2023,,,318.75,63.75,42.5,425,DA0008-0123-3/8,2.035,168.531,253.68,152.411,,1,2.479,30,192.5,250,254.99,145,180,,,
511,125,589,8,8,500,459.9,100,102,90,92,100,8/14/2023,,,383.25,76.65,51.1,511,DA0008-0124-3/8,2.084,167.49,253.101,152.595,,1,2.479,30,192.5,250,254.99,145,180,,,
300,425,258,7,8,500,270,88,60,90,47,100,8/15/2023,,,225,45,30,300,DA0008-0125-3/8,2.029,171.14,253.516,154.601,,1,2.479,30,192.5,250,254.99,145,180,,,
221,511,125,3,8,500,198.9,38,44,90,15,100,8/16/2023,,,165.75,33.15,22.1,221,DA0008-0126-3/8,2.133,0,253.634,154.173,,1,2.479,30,192.5,250,254.99,145,180,,,
12,300,425,4,8,500,10.8,50,2,90,1,100,8/17/2023,,,9,1.8,1.2,12,DA0008-0127-3/8,2.094,173.947,253.25,154.515,,1,2.479,30,192.5,250,254.99,145,180,,,
12,425,125,3,8,500,10.8,38,2,90,1,100,8/18/2023,,,9,1.8,1.2,12,DA0008-0128-3/8,2.11,170.823,253.175,154.784,,1,2.479,30,192.5,250,254.99,145,180,,,
258,152,425,2,8,500,232.2,25,52,90,12,100,8/19/2023,,,193.5,38.7,25.8,258,DA0008-0129-3/8,2.17,165.78,253.351,155.093,,1,2.479,30,192.5,250,254.99,145,180,,,
125,1554,511,3,8,500,112.5,38,25,90,8,100,8/20/2023,,,93.75,18.75,12.5,125,DA0008-0130-3/8,2.15,0,252.932,156.772,,1,2.479,30,192.5,250,254.99,145,180,,,
425,152,152,4,8,500,382.5,50,85,90,38,100,8/21/2023,,,318.75,63.75,42.5,425,DA0008-0131-3/8,2.17,170.176,253.492,152.907,,1,2.479,30,192.5,250,254.99,145,180,,,
511,1554,128,6,8,500,459.9,75,102,90,69,100,8/22/2023,,,383.25,76.65,51.1,511,DA0008-0132-3/8,2.214,175.866,252.413,156.527,,1,2.479,30,192.5,250,254.99,145,180,,,
300,152,152,5,8,500,270,63,60,90,34,100,8/23/2023,,,225,45,30,300,DA0008-0133-3/8,2.2,164.572,253.04,154.063,,1,2.479,30,192.5,250,254.99,145,180,,,
589,1554,511,4,8,500,530.1,50,118,90,53,100,8/24/2023,,,441.75,88.35,58.9,589,DA0008-0134-3/8,2.207,176.024,252.536,157.491,,1,2.479,30,192.5,250,254.99,145,180,,,
258,152,300,3,8,500,232.2,38,52,90,17,100,8/25/2023,,,193.5,38.7,25.8,258,DA0008-0135-3/8,2.204,168.975,253.243,155.833,,1,2.479,30,192.5,250,254.99,145,180,,,
125,1554,589,3,8,500,112.5,38,25,90,8,100,8/26/2023,,,93.75,18.75,12.5,125,DA0008-0136-3/8,2.196,175.235,253.369,156.22,,1,2.479,30,192.5,250,254.99,145,180,,,
