presto,ft,w,time,act_run,sch_run,ideal_prod,good_out,availability,performance,quality,oee
258,425,425,7/31/2023,3,8, 500.00 , 206.40 ,38%,52%,80%,15%
589,300,300,7/30/2023,1,8, 500.00 , 471.20 ,13%,118%,80%,12%
300,511,511,7/29/2023,3,8, 500.00 , 240.00 ,38%,60%,80%,18%
511,425,425,7/28/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,125,125,7/27/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,300,300,7/26/2023,5,8, 500.00 , 100.00 ,63%,25%,80%,13%
12,511,511,7/25/2023,6,8, 500.00 , 9.60 ,75%,2%,80%,1%
12,425,425,7/24/2023,4,8, 500.00 , 9.60 ,50%,2%,80%,1%
221,125,125,7/23/2023,3,8, 500.00 , 176.80 ,38%,44%,80%,13%
300,425,1554,7/22/2023,2,8, 500.00 , 240.00 ,25%,60%,80%,12%
511,125,152,7/21/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,1554,1554,7/20/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,152,152,7/19/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
12,300,425,7/18/2023,7,8, 500.00 , 9.60 ,88%,2%,80%,2%
12,511,300,7/17/2023,8,8, 500.00 , 9.60 ,100%,2%,80%,2%
221,425,511,7/16/2023,4,8, 500.00 , 176.80 ,50%,44%,80%,18%
300,125,425,7/15/2023,3,8, 500.00 , 240.00 ,38%,60%,80%,18%
511,1554,125,7/14/2023,4,8, 500.00 , 408.80 ,50%,102%,80%,41%
425,425,300,7/13/2023,3,8, 500.00 , 340.00 ,38%,85%,80%,26%
125,300,511,7/12/2023,4,8, 500.00 , 100.00 ,50%,25%,80%,10%
236,511,425,7/11/2023,5,8, 500.00 , 188.80 ,63%,47%,80%,24%
214,425,125,7/10/2023,6,8, 500.00 , 171.20 ,75%,43%,80%,26%
264,125,1554,7/9/2023,3,8, 500.00 , 211.20 ,38%,53%,80%,16%
152,300,261,7/8/2023,2,8, 500.00 , 121.60 ,25%,30%,80%,6%
128,511,256,7/7/2023,3,8, 500.00 , 102.40 ,38%,26%,80%,8%
152,425,2564,7/6/2023,4,8, 500.00 , 121.60 ,50%,30%,80%,12%
511,125,1254,7/5/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,425,2689,7/4/2023,7,8, 500.00 , 340.00 ,88%,85%,80%,60%
125,125,4862,7/3/2023,8,8, 500.00 , 100.00 ,100%,25%,80%,20%
425,1554,4867,7/2/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,152,4685,7/1/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
258,300,278,6/30/2023,4,8, 500.00 , 206.40 ,50%,52%,80%,21%
12,511,289,6/29/2023,3,8, 500.00 , 9.60 ,38%,2%,80%,1%
12,425,300,6/28/2023,4,8, 500.00 , 9.60 ,50%,2%,80%,1%
221,125,311,6/27/2023,5,8, 500.00 , 176.80 ,63%,44%,80%,22%
300,1554,322,6/26/2023,6,8, 500.00 , 240.00 ,75%,60%,80%,36%
511,1554,333,6/25/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,152,344,6/24/2023,2,8, 500.00 , 340.00 ,25%,85%,80%,17%
125,425,355,6/23/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
236,300,20,6/22/2023,1,8, 500.00 , 188.80 ,13%,47%,80%,5%
214,511,20,6/21/2023,3,8, 500.00 , 171.20 ,38%,43%,80%,13%
264,425,20,6/20/2023,1,8, 500.00 , 211.20 ,13%,53%,80%,5%
152,125,10,6/19/2023,3,8, 500.00 , 121.60 ,38%,30%,80%,9%
128,300,10,6/18/2023,1,8, 500.00 , 102.40 ,13%,26%,80%,3%
152,511,10,6/17/2023,3,8, 500.00 , 121.60 ,38%,30%,80%,9%
511,425,10,6/16/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,125,10,6/15/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,425,10,6/14/2023,5,8, 500.00 , 100.00 ,63%,25%,80%,13%
12,125,10,6/13/2023,6,8, 500.00 , 9.60 ,75%,2%,80%,1%
12,1554,10,6/12/2023,4,8, 500.00 , 9.60 ,50%,2%,80%,1%
221,152,10,6/11/2023,3,8, 500.00 , 176.80 ,38%,44%,80%,13%
300,300,10,6/10/2023,2,8, 500.00 , 240.00 ,25%,60%,80%,12%
511,511,92,6/9/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,425,278,6/8/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,125,289,6/7/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
236,1554,300,6/6/2023,7,8, 500.00 , 188.80 ,88%,47%,80%,33%
214,1114,311,6/5/2023,8,8, 500.00 , 171.20 ,100%,43%,80%,34%
264,1125,322,6/4/2023,4,8, 500.00 , 211.20 ,50%,53%,80%,21%
152,1136,333,6/3/2023,3,8, 500.00 , 121.60 ,38%,30%,80%,9%
128,1147,511,6/2/2023,4,8, 500.00 , 102.40 ,50%,26%,80%,10%
152,1158,425,6/1/2023,3,8, 500.00 , 121.60 ,38%,30%,80%,9%
511,1169,125,5/31/2023,4,8, 500.00 , 408.80 ,50%,102%,80%,41%
425,1180,300,5/30/2023,5,8, 500.00 , 340.00 ,63%,85%,80%,43%
125,1191,511,5/29/2023,6,8, 500.00 , 100.00 ,75%,25%,80%,15%
425,1202,425,5/28/2023,3,8, 500.00 , 340.00 ,38%,85%,80%,26%
12,1213,125,5/27/2023,2,8, 500.00 , 9.60 ,25%,2%,80%,0%
12,1224,425,5/26/2023,3,8, 500.00 , 9.60 ,38%,2%,80%,1%
221,1235,125,5/25/2023,4,8, 500.00 , 176.80 ,50%,44%,80%,18%
300,1246,1554,5/24/2023,3,8, 500.00 , 240.00 ,38%,60%,80%,18%
511,1257,511,5/23/2023,7,8, 500.00 , 408.80 ,88%,102%,80%,72%
425,1268,425,5/22/2023,8,8, 500.00 , 340.00 ,100%,85%,80%,68%
125,1279,125,5/21/2023,4,8, 500.00 , 100.00 ,50%,25%,80%,10%
236,1290,300,5/20/2023,3,8, 500.00 , 188.80 ,38%,47%,80%,14%
214,1301,511,5/19/2023,4,8, 500.00 , 171.20 ,50%,43%,80%,17%
264,1312,425,5/18/2023,3,8, 500.00 , 211.20 ,38%,53%,80%,16%
152,1323,125,5/17/2023,4,8, 500.00 , 121.60 ,50%,30%,80%,12%
128,1334,425,5/16/2023,5,8, 500.00 , 102.40 ,63%,26%,80%,13%
152,1345,125,5/15/2023,6,8, 500.00 , 121.60 ,75%,30%,80%,18%
511,1356,1554,5/14/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,1367,152,5/13/2023,2,8, 500.00 , 340.00 ,25%,85%,80%,17%
125,1378,10,5/12/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
425,1389,511,5/11/2023,1,8, 500.00 , 340.00 ,13%,85%,80%,9%
125,1400,425,5/10/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
258,1411,125,5/9/2023,1,8, 500.00 , 206.40 ,13%,52%,80%,5%
589,1422,300,5/8/2023,3,8, 500.00 , 471.20 ,38%,118%,80%,35%
300,1433,511,5/7/2023,1,8, 500.00 , 240.00 ,13%,60%,80%,6%
511,1444,425,5/6/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,1455,125,5/5/2023,3,8, 500.00 , 340.00 ,38%,85%,80%,26%
125,1466,425,5/4/2023,4,8, 500.00 , 100.00 ,50%,25%,80%,10%
258,1477,125,5/3/2023,5,8, 500.00 , 206.40 ,63%,52%,80%,26%
12,1488,1554,5/2/2023,6,8, 500.00 , 9.60 ,75%,2%,80%,1%
12,1499,511,5/1/2023,4,8, 500.00 , 9.60 ,50%,2%,80%,1%
221,1510,425,4/30/2023,3,8, 500.00 , 176.80 ,38%,44%,80%,13%
300,1521,125,4/29/2023,2,8, 500.00 , 240.00 ,25%,60%,80%,12%
511,1532,300,4/28/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,1543,511,4/27/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,1554,425,4/26/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
1,1565,125,4/25/2023,0,8, 500.00 , 0.80 ,0%,0%,80%,0%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
