presto,ft,w,act_run,sch_run,ideal_prod,good_out,availability,performance,quality,oee,time
12,425,511,8,8,500,9.6,100%,2%,80%,2%,7/17/2023
12,511,300,7,8,500,9.6,88%,2%,80%,2%,7/18/2023
125,152,589,3,8,500,100,38%,25%,80%,8%,7/19/2023
425,128,258,4,8,500,340,50%,85%,80%,34%,7/20/2023
511,152,125,3,8,500,408.8,38%,102%,80%,31%,7/21/2023
300,264,425,2,8,500,240,25%,60%,80%,12%,7/22/2023
221,333,125,3,8,500,176.8,38%,44%,80%,13%,7/23/2023
12,322,425,4,8,500,9.6,50%,2%,80%,1%,7/24/2023
12,311,511,6,8,500,9.6,75%,2%,80%,1%,7/25/2023
125,300,152,5,8,500,100,63%,25%,80%,13%,7/26/2023
425,289,128,4,8,500,340,50%,85%,80%,34%,7/27/2023
511,278,152,3,8,500,408.8,38%,102%,80%,31%,7/28/2023
300,511,264,3,8,500,240,38%,60%,80%,18%,7/29/2023
589,300,333,1,8,500,471.2,13%,118%,80%,12%,7/30/2023
258,425,322,3,8,500,206.4,38%,52%,80%,15%,7/31/2023
125,1554,311,1,8,500,100,13%,25%,80%,3%,8/1/2023
425,125,300,3,8,500,340,38%,85%,80%,26%,8/2/2023
125,425,289,1,8,500,100,13%,25%,80%,3%,8/3/2023
425,511,278,3,8,500,340,38%,85%,80%,26%,8/4/2023
511,300,152,2,8,500,408.8,25%,102%,80%,20%,8/5/2023
152,152,1554,3,8,500,121.6,38%,30%,80%,9%,8/6/2023
128,1554,152,6,8,500,102.4,75%,26%,80%,15%,8/7/2023
152,125,1554,5,8,500,121.6,63%,30%,80%,15%,8/8/2023
264,425,125,4,8,500,211.2,50%,53%,80%,21%,8/9/2023
214,125,425,3,8,500,171.2,38%,43%,80%,13%,8/10/2023
236,425,511,4,8,500,188.8,50%,47%,80%,19%,8/11/2023
125,511,511,3,8,500,100,38%,25%,80%,8%,8/12/2023
425,300,300,4,8,500,340,50%,85%,80%,34%,8/13/2023
511,125,589,8,8,500,408.8,100%,102%,80%,82%,8/14/2023
300,425,258,7,8,500,240,88%,60%,80%,42%,8/15/2023
221,511,125,3,8,500,176.8,38%,44%,80%,13%,8/16/2023
12,300,425,4,8,500,9.6,50%,2%,80%,1%,8/17/2023
12,425,125,3,8,500,9.6,38%,2%,80%,1%,8/18/2023
258,152,425,2,8,500,206.4,25%,52%,80%,10%,8/19/2023
125,1554,511,3,8,500,100,38%,25%,80%,8%,8/20/2023
425,152,152,4,8,500,340,50%,85%,80%,34%,8/21/2023
511,1554,128,6,8,500,408.8,75%,102%,80%,61%,8/22/2023
300,152,152,5,8,500,240,63%,60%,80%,30%,8/23/2023
589,1554,511,4,8,500,471.2,50%,118%,80%,47%,8/24/2023
258,152,300,3,8,500,206.4,38%,52%,80%,15%,8/25/2023
125,1554,589,3,8,500,100,38%,25%,80%,8%,8/26/2023
425,511,258,1,8,500,340,13%,85%,80%,9%,8/27/2023
125,300,125,3,8,500,100,38%,25%,80%,8%,8/28/2023
425,589,425,1,8,500,340,13%,85%,80%,9%,8/29/2023
511,258,125,3,8,500,408.8,38%,102%,80%,31%,8/30/2023
152,125,425,1,8,500,121.6,13%,30%,80%,3%,8/31/2023
128,425,511,3,8,500,102.4,38%,26%,80%,8%,9/1/2023
152,125,152,2,8,500,121.6,25%,30%,80%,6%,9/2/2023
264,425,128,3,8,500,211.2,38%,53%,80%,16%,9/3/2023
214,511,152,6,8,500,171.2,75%,43%,80%,26%,9/4/2023
236,152,264,5,8,500,188.8,63%,47%,80%,24%,9/5/2023
125,128,333,4,8,500,100,50%,25%,80%,10%,9/6/2023
425,152,322,3,8,500,340,38%,85%,80%,26%,9/7/2023
511,264,311,4,8,500,408.8,50%,102%,80%,41%,9/8/2023
300,333,300,3,8,500,240,38%,60%,80%,18%,9/9/2023
221,322,289,4,8,500,176.8,50%,44%,80%,18%,9/10/2023
475,311,278,8,8,500,9.6,100%,2%,80%,2%,9/11/2023
453,300,300,7,8,500,9.6,88%,2%,80%,2%,9/12/2023
,,,,,,,,,,,
,,,,,,,,,,,
